,tweet_id,rating_numerator,rating_denominator,name,time,dates,Stages,jpg_url,img_num,p1,p1_conf,p1_dog,p2,p2_conf,p2_dog,p3,p3_conf,p3_dog,favorite_count,retweet_count
0,891815181378084864,12,10,Archie,2017-07-31 00:18:03,2017-07-31,None,https://pbs.twimg.com/media/DGBdLU1WsAANxJ9.jpg,1,Chihuahua,0.716012,True,Malamute,0.078253,True,Kelpie,0.0313789,True,24944,4166
1,891689557279858688,13,10,Darla,2017-07-30 15:58:51,2017-07-30,None,https://pbs.twimg.com/media/DF_q7IAWsAEuuN8.jpg,1,Paper Towel,0.17027799999999998,False,Labrador Retriever,0.168086,True,Spatula,0.0408359,False,42042,8683
2,891327558926688256,12,10,Franklin,2017-07-29 16:00:24,2017-07-29,None,https://pbs.twimg.com/media/DF6hr6BUMAAzZgT.jpg,2,Basset,0.555712,True,English Springer,0.22577,True,German Short-Haired Pointer,0.175219,True,40195,9440
3,891087950875897856,13,10,None,2017-07-29 00:08:17,2017-07-29,None,https://pbs.twimg.com/media/DF3HwyEWsAABqE6.jpg,1,Chesapeake Bay Retriever,0.425595,True,Irish Terrier,0.116317,True,Indian Elephant,0.07690219999999999,False,20159,3124
4,890729181411237888,13,10,None,2017-07-28 00:22:40,2017-07-28,None,https://pbs.twimg.com/media/DFyBahAVwAAhUTd.jpg,2,Pomeranian,0.566142,True,Eskimo Dog,0.17840599999999998,True,Pembroke,0.0765069,True,65307,18963
5,890609185150312448,13,10,Zoey,2017-07-27 16:25:51,2017-07-27,None,https://pbs.twimg.com/media/DFwUU__XcAEpyXI.jpg,1,Irish Terrier,0.487574,True,Irish Setter,0.193054,True,Chesapeake Bay Retriever,0.118184,True,27705,4278
6,890006608113172480,13,10,Koda,2017-07-26 00:31:25,2017-07-26,None,https://pbs.twimg.com/media/DFnwSY4WAAAMliS.jpg,1,Samoyed,0.957979,True,Pomeranian,0.0138835,True,Chow,0.00816748,True,30573,7361
7,889638837579907072,12,10,Ted,2017-07-25 00:10:02,2017-07-25,None,https://pbs.twimg.com/media/DFihzFfXsAYGDPR.jpg,1,French Bulldog,0.99165,True,Boxer,0.00212864,True,Staffordshire Bullterrier,0.00149818,True,27094,4560
8,889278841981685760,13,10,Oliver,2017-07-24 00:19:32,2017-07-24,None,https://pbs.twimg.com/ext_tw_video_thumb/889278779352338437/pu/img/VlbFB3v8H8VwzVNY.jpg,1,Whippet,0.626152,True,Borzoi,0.194742,True,Saluki,0.0273507,True,25215,5438
9,888917238123831296,12,10,Jim,2017-07-23 00:22:39,2017-07-23,None,https://pbs.twimg.com/media/DFYRgsOUQAARGhO.jpg,1,Golden Retriever,0.714719,True,Tibetan Mastiff,0.120184,True,Labrador Retriever,0.105506,True,28993,4512
10,888554962724278272,13,10,Ralphus,2017-07-22 00:23:06,2017-07-22,None,https://pbs.twimg.com/media/DFTH_O-UQAACu20.jpg,3,Siberian Husky,0.700377,True,Eskimo Dog,0.166511,True,Malamute,0.111411,True,19837,3595
11,888078434458587136,12,10,Gerald,2017-07-20 16:49:33,2017-07-20,None,https://pbs.twimg.com/media/DFMWn56WsAAkA7B.jpg,1,French Bulldog,0.995026,True,Pug,0.000931908,True,Bull Mastiff,0.000903211,True,21700,3509
12,887705289381826560,13,10,Jeffrey,2017-07-19 16:06:48,2017-07-19,None,https://pbs.twimg.com/media/DFHDQBbXgAEqY7t.jpg,1,Basset,0.821664,True,Redbone,0.0875815,True,Weimaraner,0.026236400000000003,True,30091,5411
13,887517139158093824,14,10,None,2017-07-19 03:39:09,2017-07-19,None,https://pbs.twimg.com/ext_tw_video_thumb/887517108413886465/pu/img/WanJKwssZj4VJvL9.jpg,1,Limousine,0.130432,False,Tow Truck,0.0291754,False,Shopping Cart,0.0263208,False,46106,11704
14,887101392804085760,12,10,None,2017-07-18 00:07:08,2017-07-18,None,https://pbs.twimg.com/media/DE-eAq6UwAA-jaE.jpg,1,Samoyed,0.733942,True,Eskimo Dog,0.0350295,True,Staffordshire Bullterrier,0.029704700000000007,True,30444,5982
15,887343217045368832,13,10,None,2017-07-18 16:08:03,2017-07-18,None,https://pbs.twimg.com/ext_tw_video_thumb/887343120832229379/pu/img/6HSuFrW1lzI_9Mht.jpg,1,Mexican Hairless,0.330741,True,Sea Lion,0.275645,False,Weimaraner,0.134203,True,33574,10435
